Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Ultra Heavy,3,OTAVIO DUARTE,JORGE PEREIRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Ultra Heavy,3,LUIZ GUILHERME,JORGE PERREIRA
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Open Class,3,MURILO BUSTAMANTE,CARLSON GRACIE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Male,Open Class,3,DAVID MEYER,MACHADO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Light,1,TAIS RAMOS,BRIGADEIRO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Heavy,1,ROSANGELA CONCEICAO,UGF
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Light,2,DANIELLE FIGUEREDO,ALLIANCE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Heavy,2,ALESSANDRA TSHOLA,ALLIANCE
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Light,3,BIANCA BARRETO,FORMA FIT
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Light,3,MARIANA COELHO,EQUIPE 3
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Heavy,3,ANDREIA SILVA,LEAO DOURADO
World Jiu-Jitsu IBJJF Championship,1998,Adult,Black,Female,Heavy,3,CRISTIANE PEREIRA,NOVA UNIAO
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Rooster,1,Omar Salum,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light Feather,1,Robson Moura,Nova Uniao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Feather,1,Royler Gracie,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light,1,Vitor Ribeiro,Nova Uniao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Middle,1,Alexandre Paiva,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Medium Heavy,1,Saulo Ribeiro,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Heavy,1,Murilo Bustamante,Carlson Lagoa
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Super Heavy,1,Leonardo Leite,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Ultra Heavy,1,Roberto Traven,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Open Class,1,Rodrigo Madeiros,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Rooster,2,Ralph Pires,Wall Street
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light Feather,2,Vinicius Cruz,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Feather,2,Leonardo Vieira,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light,2,Marcio Feitosa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Middle,2,Roberto Atalla,Bolao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Medium Heavy,2,Roberto Magalhães,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Heavy,2,Paulo Filho,Carlson Lagoa
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Super Heavy,2,Jose Mario,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Ultra Heavy,2,Leonardo Castello Branco,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Open Class,2,Roberto Magalhães,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Rooster,3,Sergio Torres,Nova Uniao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Rooster,3,Pablo Ian,Bolao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light Feather,3,Bruno Ximenes,Bolao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light Feather,3,Paulo Sergio,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Feather,3,Vinicius Magalhães,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Feather,3,Marcos Barbosa,Godoi/Macaco
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light,3,Renato Barreto,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Light,3,Wellington Dias,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Middle,3,Haroldo Vitoriano,Master Atlanta
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Middle,3,Suian Queiroz,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Medium Heavy,3,Ze Marcelo,Carlson Lagoa
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Medium Heavy,3,Amauri Bitetti,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Heavy,3,Fabio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Heavy,3,Leonardo Dalla,Jorge Pereira
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Super Heavy,3,Claudio Moreno,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Super Heavy,3,Daniel Simoes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Ultra Heavy,3,Andre Mendes,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Ultra Heavy,3,Jose Mario Mc Coord,Master Atlanta
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Open Class,3,Antonio Nogueira,De La Riva
World Jiu-Jitsu IBJJF Championship,1999,Adult,Black,Male,Open Class,3,Jose Mario,Carlson
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Feather,1,Alessandra Vieira,Dojo/Machado
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Middle,1,Alessandra Oliveira,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Heavy,1,Cristina Pereira,Nova Uniao
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Feather,2,Daniela Figueredo,Alliance
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Middle,2,Erica Paes,Oswaldo Alves
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Heavy,2,Andrea Pereira,Leão Dourado
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Feather,3,Leticia Ribeiro,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Feather,3,Fernanda Bastos,Ugf
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Middle,3,Janaina Ventura,Braz. Fight/Manimal
World Jiu-Jitsu IBJJF Championship,1999,Adult,Purple Brown Black,Female,Middle,3,Alexandra Correa,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Rooster,1,Omar Salum,Gracie Humaitá
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light Feather,1,Robson Moura,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Feather,1,BJ Penn,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light,1,Vitor Ribeiro,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Middle,1,Fernando Terere,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Medium Heavy,1,Roberto Magalhes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Heavy,1,Fabio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Super Heavy,1,Saulo Ribeiro,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Ultra Heavy,1,Leonardo Leite,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Open Class,1,Rodrigo Madeiros,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Rooster,2,Marcelo Pereira,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light Feather,2,Marcos da Matta,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Feather,2,Edson Diniz,Infight
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light,2,Marcio Feitosa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Middle,2,Antonio Schembri,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Medium Heavy,2,Fernando Pontes,Godoi/Macaco
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Heavy,2,Ricardo Arona,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Super Heavy,2,Daniel Simoes,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Ultra Heavy,2,Andre Fernandes,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Open Class,2,Fernando Pontes,Godoi/Macaco
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Rooster,3,Joao Marcio,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Rooster,3,Pablo Ian,Segio Souza
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light Feather,3,Bruno Ximenes,Carlson Gracie
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light Feather,3,Leonardo Xavier,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Feather,3,Fredson Alves,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Feather,3,Marcos Barbosa,Godoi/Macaco
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light,3,Leonardo Santos,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Light,3,Leonardo Vieira,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Middle,3,Pedro Duarte,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Middle,3,Fernando Marques,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Medium Heavy,3,Eduardo Conceicao,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Medium Heavy,3,Flavio Almeida,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Heavy,3,Rodrigo Medeiros,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Heavy,3,Roberto Godoi,Godoi/Macaco
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Super Heavy,3,Gabriel Napao,Big Brothers
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Super Heavy,3,Renato Ferro,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Ultra Heavy,3,Jose Mario Mc Coord,Alliance Sul
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Ultra Heavy,3,Andre Mendes,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Open Class,3,Leo Leite,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Black,Male,Open Class,3,Jose Mario,Alliance Sul
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light Feather,1,Daniela Figueredo,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Feather,1,Leticia Ribeiro,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light,1,Alessandra Oliveira,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Middle,1,Renata Pimentel,Ricardo Pinho
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Medium Heavy,1,Erika Paes,Osvaldo Alves
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light Feather,2,Renata Yoshi,Cia Paulista
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Feather,2,Alessandra Vieira,Dojo
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light,2,Neli Miranda,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Middle,2,Tatiana Tognini,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Medium Heavy,2,Maria do Carmo,Gracie Humaita
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light Feather,3,Cleonara de Oliveira,UGF
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light Feather,3,Roberta Parise,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Feather,3,Fernanda Bastos,UGF
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Feather,3,Ananda Nobre,Strauch
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light,3,Analia Xavier,Alliance
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Light,3,Gabriela Quadrado,Brazilian Top Team
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Middle,3,Tania de Oliveira,Marcio Simas
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Middle,3,Mariana Coelho,Osvaldo Alves
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Medium Heavy,3,Andreia Aparecida,Leao Dourado
World Jiu-Jitsu IBJJF Championship,2000,Adult,Purple Brown Black,Female,Medium Heavy,3,Michele Develard,Monir
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Rooster,1,Bernardo Pitel,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Light Feather,1,Ricardo Vieira,Alliance
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Feather,1,Fredson Paixão,Equipe Iii
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Light,1,Márcio Feitosa,Gracie Barra
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Middle,1,Vitor Ribeiro,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Medium Heavy,1,Fernando Pontes,Braz. Top Team
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Heavy,1,Fábio Gurgel,Alliance
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Super Heavy,1,Fernando Marques,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Ultra Heavy,1,Márcio Corleta,Winner Behring
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Open Class,1,Fernando Pontes,Braz. Top Team
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Rooster,2,Alison Melo,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Light Feather,2,Daniel Beleza,Nova Uniao
World Jiu-Jitsu IBJJF Championship,2001,Adult,Black,Male,Feather,2,Fredson Alves,Gracie Humaita
