Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light Feather,3,luis pantoja,Yamasaki Academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light Feather,3,joseph capizzi,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Feather,3,salvatore sanguinetti,Yamasaki Academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light,3,leonardo leite,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light,3,keith florian,florian martial arts
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Middle,3,edson diniz,American Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Middle,3,bruno tostes,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Medium Heavy,3,jay valko,valko bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Medium Heavy,3,ailton barbosa,American Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Heavy,3,luiz gustavo costa,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Open Class,3,luis gustavo,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light Feather,1,Caio Terra,Gracie Fighter
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Feather,1,Henrique Rezende Costa e,Marcelo Garcia
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light,1,Jonathan Torres,Lloyd Irvin
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Middle,1,Lucas Alves Lepri,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Heavy,1,Diego Gamonal Nogueira,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Super Heavy,1,Marcus Vinicius Oliveira,Check Mat Bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Ultra Heavy,1,Victor Costa,Check Mat Bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Open Class,1,Pablo Popovich,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light Feather,2,Brandon Mullins,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Feather,2,Renan Borges,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light,2,Rodrigo Simoes de Freitas,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Middle,2,Thiago Aragao de Abreu,Check Mat Bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Heavy,2,Bruno Augusto Togni Antunes,Gracie FlorianÑpolis
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Super Heavy,2,Bruno Cruz,Nova Uniao
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Ultra Heavy,2,Marcelo Pereira,Nova Uniao
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Open Class,2,Marcus Vinicius,Check Mat Bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light Feather,3,Luis Pantoja,Yamasaki Academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light Feather,3,Joseph Capizzi,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Feather,3,Denilson de Carvalho Pimenta,GF Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Feather,3,Samir Jose Chantre Dahas,Gracie Fighter
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light,3,Klint Radwani,Yamasaki Academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Light,3,Caio Almeida,Ryan Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Middle,3,Nic Ruben Nikolaisen,Frontline
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Middle,3,Cleber de Souza Lopes,Leao Dourado
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Heavy,3,Daniel Simmler,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Heavy,3,Carlos Eduardo Pedreira,Jucao
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Super Heavy,3,Marco Macera,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Open Class,3,Bruno Bastos,Nova Uniao
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Black,Male,Open Class,3,Caio Terra,Gracie Fighter
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Brown Black,Female,Feather,1,Sofia Amarante,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Brown Black,Female,Middle,1,Emily Kwok,Marcelo Garcia
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Brown Black,Female,Open Class,1,Emily Kwok,Marcelo Garcia
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Brown Black,Female,Feather,2,Donna Picerno,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2010,Adult,Brown Black,Female,Open Class,2,Sofia Amarante,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light Feather,1,Caio Terra,Gracie Fighter
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Feather,1,Andre Carvalho Monteiro,BJJ Revolution Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light,1,Lucas Alves Lepri,Alliance NY
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Middle,1,Davi Ramos Pinheiro da Silva,Atos JJ
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Medium Heavy,1,Kayron Gracie,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Heavy,1,Alexandre Henrique m Moreira,Team Link
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Super Heavy,1,Francisco Daniel Pires Tavares,SAS Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Ultra Heavy,1,Petrus Walter Moreira de Melo,Wild Buffalo Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Open Class,1,Davi Ramos,Atos
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light Feather,2,Henrique Rezende Costa e,marcelo garcia academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Feather,2,Jin Yung,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light,2,Bruno Silva Amaral,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Middle,2,Pedro Henrique R Elias,Caique JJ
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Medium Heavy,2,Luciano Cristovam Rodrigues,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Heavy,2,Daniel Ray O'Brien,Solis Martial Arts
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Super Heavy,2,Leonardo Machado,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Open Class,2,Kayron Gracie,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light Feather,3,Brandon Mullins,Gracie Barra
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light Feather,3,Jason Scully,Brazilian JJ United Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Feather,3,Flavio Ralf Meier,Caio Terra San Jose
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light,3,Renato Einaudi,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Light,3,Daniel J Covel,marcelo garcia academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Middle,3,Warren Jefferson Stout,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Medium Heavy,3,Diego Gamonal Nogueira,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Medium Heavy,3,Leonardo Henrique D'avila,Luiz Paulo JJ
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Heavy,3,Frederico Moncaio,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Heavy,3,Joao G Moncaio,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Super Heavy,3,Marco Aurelio de Lima,Team De Lima
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Open Class,3,Lucioano Cristovam,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Black,Male,Open Class,3,Daniel Tavares,SAS Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Light Feather,1,Marcela S. de Oliveira Macedo,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Feather,1,Jennifer A Petrina,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Middle,1,Emily R Kwok,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Heavy,1,Cecilia Maria Minshall,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Open Class,1,Emily Kwok,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Feather,2,Abby Brooke Malone,Nova Uniao
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Open Class,2,Cecilia Minshall,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Feather,3,Donna Picerno,Renzo Gracie
