Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Light Feather,2,Elizangela Meireles,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Feather,2,Marina Soares Ribeiro,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Light,2,Bibiana Dios Tan,Sul JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Middle,2,Ana Beth Lowry,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Heavy,2,Carla de Souza,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Open Class,2,Luiza Monteiro,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Feather,3,Marcela Thomaz Aquino Alves,Guigo JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Open Class,3,Bruna Andre,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Open Class,3,Marcela Thomaz Aquino Alves,Guigo JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Rooster,1,Raul Gomes Marcello,Gracie Humaita
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light-Feather,1,Douglas Rufino da Silva,CheckMat
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Middle,1,Vinícius Tavares Marinho,GF Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Medium-Heavy,1,Alberto Ramos de Araujo Oliveira,GF Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Heavy,1,Leonardo da Costa Maciel,GF Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Super-Heavy,1,Mauro Celso Santiago,Gracie Barra Belo Horizonte-MG
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Ultra-Heavy,1,Bruno Matias Soares,CheckMat Brasil
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Open Class,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Rooster,2,Tiago Marques Magalhães,Burton Deyves BJJ Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light-Feather,2,Leandro Luiz da Silva,CheckMat Brasil
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light,2,Kim Terra,CheckMat
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Middle,2,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Medium-Heavy,2,Romulo de Souza Azevedo,Welton Ribeiro
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Heavy,2,Ricardo Ramos de Mesquita,Alliance
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Super-Heavy,2,André Luiz do Nascimento Ramos,CT MR
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Ultra-Heavy,2,Walter Pinto da Silva Júnior,Broca Fight Team (BFT)
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Open Class,2,Mauro Celso Santiago,Gracie Barra Belo Horizonte-MG
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light-Feather,3,Paulo Cezar Alves Pinheiro,Gracie Barra
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light-Feather,3,Thiago Teixeira do Nascimento,CT MR
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light,3,Antonio Roberto Crivelari Junior,CheckMat
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Light,3,Fabio Gibson Soares Santos,De La Riva JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Middle,3,Edson Diniz Fidelis,Infight JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Middle,3,Victor Inacio de Mendonça Neto,Barbosa JJ e MMA
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Medium-Heavy,3,Italo Ramon Magalhães Vieira,CheckMat Brasil
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Medium-Heavy,3,Paulo José Pinto,Alliance
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Heavy,3,Manoel Fernandes de Oliveira Neto,GF Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Heavy,3,Rubens Pedroso,Infight SP
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Super-Heavy,3,Diego Turquino de Oliveira,Gracie Barra Cuiabá
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Super-Heavy,3,Raphael Bittencourt Quintanilha,Braga Jiu-Jitsu Brasil
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Ultra-Heavy,3,Gilmar Silva de Oliveira,Academia BSB
